space_id,space_name,space_type,priority,component_type,purpose,admin_action,seed_source,status,acceptance_evidence
commons,Governance Commons Assembly,Assembly,1,Page,Explain fake demo boundary and public review path,Create static page component with no-real-data statement,docs/first-nations-governance-commons-concept-note.md,Ready,Public page screenshot and reviewed wording
commons,Governance Commons Assembly,Assembly,1,Meetings,Show fake assembly briefings and demo walkthroughs,Create fake meetings with closed or fake-only registrations,data/sample-meetings.csv,Ready,Meeting list and detail screenshots
commons,Governance Commons Assembly,Assembly,1,Proposals,Show governance improvement ideas without binding authority,Create official fake proposals and disable public proposal creation for first demo,data/sample-proposals.csv,Hold,Proposal settings and list screenshots
commons,Governance Commons Assembly,Assembly,1,Accountability,Track fake review commitments and public follow-up,Create results with simple statuses and progress values,data/sample-accountability.csv,Ready,Accountability list screenshot
budget,Community Priorities And Budget 2026,Participatory process,2,Meetings,Publish fake yarning circles and briefings,Create meetings agenda minutes and no-real-attendance rule,data/sample-meetings.csv,Ready,Agenda and minutes screenshot
budget,Community Priorities And Budget 2026,Participatory process,2,Survey,Show sample priority questions for people who could not attend,Create survey questions and export fake response check,data/sample-survey-questions.json,Ready,Survey preview screenshot
budget,Community Priorities And Budget 2026,Participatory process,2,Proposals,Show sample ideas and supports for community priorities,Create official fake proposals with categories and scopes,data/sample-proposals.csv,Ready,Proposal list screenshot
budget,Community Priorities And Budget 2026,Participatory process,2,Budgets,Show fake budget project selection without real voting,Create fake projects and keep voting disabled or demo-only,data/fake-content-seed-register-v2.1.csv,Hold,Budget project screenshot and voting setting screenshot
budget,Community Priorities And Budget 2026,Participatory process,2,Accountability,Track fake selected projects after process close,Create linked results and update status manually or by supported CSV,data/sample-accountability.csv,Ready,Result tracker screenshot
youth,Youth Digital Stewardship Sprint,Participatory process,3,Page,Explain training and contribution rules,Create page with no youth personal data collection,docs/fake-data-seed-playbook-v2.1.md,Ready,Page screenshot
youth,Youth Digital Stewardship Sprint,Participatory process,3,Meetings,Show fake training sessions and orientation circles,Create fake training meetings with sample agenda,data/fake-content-seed-register-v2.1.csv,Ready,Meeting screenshot
youth,Youth Digital Stewardship Sprint,Participatory process,3,Survey,Capture fake learning needs and access barriers,Create low-risk survey and block real responses,data/fake-content-seed-register-v2.1.csv,Hold,Youth-data safety review
youth,Youth Digital Stewardship Sprint,Participatory process,3,Proposals,Collect fake steward project ideas,Create official fake proposals with moderation review,data/fake-content-seed-register-v2.1.csv,Hold,Proposal screenshot and moderation setting
services,Services Feedback And Follow-up,Participatory process,4,Survey,Ask general fake feedback questions without personal cases,Create generic survey and avoid sensitive free text,data/fake-content-seed-register-v2.1.csv,Hold,Privacy and moderation review
services,Services Feedback And Follow-up,Participatory process,4,Meetings,Publish public fake feedback sessions,Create fake meetings and sample minutes,data/fake-content-seed-register-v2.1.csv,Ready,Meeting screenshot
services,Services Feedback And Follow-up,Participatory process,4,Proposals,Show service improvement ideas without individual cases,Create fake official proposals with moderation review,data/fake-content-seed-register-v2.1.csv,Hold,Proposal screenshot and no-case warning
services,Services Feedback And Follow-up,Participatory process,4,Accountability,Show follow-up commitments and progress,Create fake results with statuses and milestones,data/fake-content-seed-register-v2.1.csv,Ready,Result screenshot
