"id","field","dataClass","status","source","decidimTreatment","retentionRule","publicRule"
"FLD-001","Sample record ID","Public safe","Ready","Static sample package","Rendered fake identifier only.","Keep in public archive.","Can publish."
"FLD-002","Participant preferred name","Private restricted","Blocked","Private intake only","Minimum private profile if approved.","Delete on withdrawal or closeout rule.","Do not publish."
"FLD-003","Email or phone","Private restricted","Blocked","Private intake only","Used only for private communication if approved.","Delete on withdrawal/retention rule.","Do not publish."
"FLD-004","First Nations organisation name","Private restricted","Hold","Private organisation route","Visible to approved reviewers only.","Retain only approved minimum.","Do not publish without approval."
"FLD-005","Founder or business summary","Private restricted","Hold","Barayamal private intake","Optional minimum summary after field review.","Retain only approved minimum.","Do not publish."
"FLD-006","Member number","Never public","Blocked","Official Toastmasters route","Not stored in Decidim.","External official rules.","Never publish."
"FLD-007","Payment or signature","Never public","Blocked","External official route","Not stored in Decidim.","External official rules.","Never publish."
"FLD-008","Consent checkbox result","Private restricted","Blocked","Private consent form","Stored only in private approval system.","Consent retention rule.","Do not publish."
"FLD-009","Support need flag","Private restricted","Blocked","Private support route","Used only by support owner.","Support retention rule.","Do not publish."
"FLD-010","Incident or complaint detail","Never public","Blocked","Private support route","Not entered in public demo.","Incident retention rule.","Never publish."
"FLD-011","Access log","Never public","Hold","Private technical environment","Used only for access proof.","Security retention rule.","Never publish."
"FLD-012","Learning goal","Private restricted","Hold","Private intake only","Optional and minimised.","Closeout retention rule.","Publish aggregate only if approved."
"FLD-013","Role preference","Private restricted","Hold","Private intake only","Used for sample role allocation.","Closeout retention rule.","No names publicly."
"FLD-014","Public-safe cohort label","Public safe","Ready","Static package","Generic label such as founder, guest, mentor, observer.","Keep public-safe label.","Can publish."
"FLD-015","Raw survey response","Never public","Blocked","Private survey storage","Not published.","Survey retention rule.","Never publish."
"FLD-016","Aggregate learning summary","Public safe","Hold","Approved summary only","Aggregate values only.","Archive approved aggregate.","Can publish aggregate."
